n_oracle,n_audit,policy,rep,omega_estimator,audit_W,audit_p,audit_decision
1500,255,uniform,34,boot_fixed,0.8941649167963185,0.6394911746827658,PASS
1500,233,uniform,36,analytical,0.5831046573435109,0.7471029176767137,PASS
1500,233,uniform,36,boot_remax_ridge,0.021403253319034754,0.9893554320254264,PASS
1500,233,uniform,36,boot_remax_no_ridge,0.8348805231477149,0.6587308422164251,PASS
1500,233,uniform,36,boot_fixed,0.5932191465791888,0.7433341732309637,PASS
1500,259,uniform,38,analytical,1.6156907519469506,0.4458176014484315,PASS
1500,259,uniform,38,boot_remax_ridge,0.0927644980782839,0.9546769680820949,PASS
1500,259,uniform,38,boot_remax_no_ridge,1.5384797146742009,0.46336515810021284,PASS
1500,259,uniform,38,boot_fixed,1.5435728020094688,0.4621866796513242,PASS
1500,262,uniform,39,analytical,0.2005116093571128,0.9046059859930548,PASS
1500,262,uniform,39,boot_remax_ridge,0.0022918444363156185,0.9988547340999868,PASS
1500,262,uniform,39,boot_remax_no_ridge,0.29692680197376553,0.8620315560973945,PASS
1500,262,uniform,39,boot_fixed,0.20331538567709423,0.9033387180633332,PASS
1500,241,uniform,37,analytical,5.964391544401649,0.05068142672940412,PASS
1500,241,uniform,37,boot_remax_ridge,0.32423580168994365,0.8503409427142119,PASS
1500,241,uniform,37,boot_remax_no_ridge,6.090192181173432,0.047591738649716775,REFUSE-LEVEL
1500,241,uniform,37,boot_fixed,6.157157105294183,0.04602463176538507,REFUSE-LEVEL
1500,254,uniform,40,analytical,0.688787964881374,0.7086496775136801,PASS
1500,254,uniform,40,boot_remax_ridge,0.0007042404579220077,0.999647941758091,PASS
